realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2002-12-18,79836
2019-12-23,2019-12-23,2002-12-25,79838
2019-12-23,2019-12-23,2003-01-01,79840
2019-12-23,2019-12-23,2003-01-08,79840
2019-12-23,2019-12-23,2003-01-15,79840
2019-12-23,2019-12-23,2003-01-22,79840
2019-12-23,2019-12-23,2003-01-29,79840
2019-12-23,2019-12-23,2003-02-05,79837
2019-12-23,2019-12-23,2003-02-12,79834
2019-12-23,2019-12-23,2003-02-19,79831
2019-12-23,2019-12-23,2003-02-26,79828
2019-12-23,2019-12-23,2003-03-05,79831
2019-12-23,2019-12-23,2003-03-12,79837
2019-12-23,2019-12-23,2003-03-19,79842
2019-12-23,2019-12-23,2003-03-26,79904
2019-12-23,2019-12-23,2003-04-02,79911
2019-12-23,2019-12-23,2003-04-09,79921
2019-12-23,2019-12-23,2003-04-16,79932
2019-12-23,2019-12-23,2003-04-23,79942
2019-12-23,2019-12-23,2003-04-30,79952
2019-12-23,2019-12-23,2003-05-07,79960
2019-12-23,2019-12-23,2003-05-14,79968
2019-12-23,2019-12-23,2003-05-21,79975
2019-12-23,2019-12-23,2003-05-28,79983
2019-12-23,2019-12-23,2003-06-04,79985
2019-12-23,2019-12-23,2003-06-11,79982
2019-12-23,2019-12-23,2003-06-18,79979
2019-12-23,2019-12-23,2003-06-25,79976
2019-12-23,2019-12-23,2003-07-02,79973
2019-12-23,2019-12-23,2003-07-09,79971
2019-12-23,2019-12-23,2003-07-16,79969
2019-12-23,2019-12-23,2003-07-23,79967
2019-12-23,2019-12-23,2003-07-30,79965
2019-12-23,2019-12-23,2003-08-06,79966
2019-12-23,2019-12-23,2003-08-13,79967
2019-12-23,2019-12-23,2003-08-20,76928
2019-12-23,2019-12-23,2003-08-27,76929
2019-12-23,2019-12-23,2003-09-03,76931
2019-12-23,2019-12-23,2003-09-10,77085
2019-12-23,2019-12-23,2003-09-17,77086
2019-12-23,2019-12-23,2003-09-24,77088
2019-12-23,2019-12-23,2003-10-01,77090
2019-12-23,2019-12-23,2003-10-08,77095
2019-12-23,2019-12-23,2003-10-15,77100
