realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,2002-12-18,173935
2019-12-23,2019-12-23,2002-12-25,173936
2019-12-23,2019-12-23,2003-01-01,172758
2019-12-23,2019-12-23,2003-01-08,172758
2019-12-23,2019-12-23,2003-01-15,174818
2019-12-23,2019-12-23,2003-01-22,174818
2019-12-23,2019-12-23,2003-01-29,174818
2019-12-23,2019-12-23,2003-02-05,175434
2019-12-23,2019-12-23,2003-02-12,175832
2019-12-23,2019-12-23,2003-02-19,177990
2019-12-23,2019-12-23,2003-02-26,178982
2019-12-23,2019-12-23,2003-03-05,180176
2019-12-23,2019-12-23,2003-03-12,180179
2019-12-23,2019-12-23,2003-03-19,180893
2019-12-23,2019-12-23,2003-03-26,180897
2019-12-23,2019-12-23,2003-04-02,180779
2019-12-23,2019-12-23,2003-04-09,181519
2019-12-23,2019-12-23,2003-04-16,181526
2019-12-23,2019-12-23,2003-04-23,181533
2019-12-23,2019-12-23,2003-04-30,188832
2019-12-23,2019-12-23,2003-05-07,180504
2019-12-23,2019-12-23,2003-05-14,180509
2019-12-23,2019-12-23,2003-05-21,180465
2019-12-23,2019-12-23,2003-05-28,180470
2019-12-23,2019-12-23,2003-06-04,180193
2019-12-23,2019-12-23,2003-06-11,180191
2019-12-23,2019-12-23,2003-06-18,180189
2019-12-23,2019-12-23,2003-06-25,180187
2019-12-23,2019-12-23,2003-07-02,179355
2019-12-23,2019-12-23,2003-07-09,179353
2019-12-23,2019-12-23,2003-07-16,179352
2019-12-23,2019-12-23,2003-07-23,179350
2019-12-23,2019-12-23,2003-07-30,179349
2019-12-23,2019-12-23,2003-08-06,177684
2019-12-23,2019-12-23,2003-08-13,177685
2019-12-23,2019-12-23,2003-08-20,180032
2019-12-23,2019-12-23,2003-08-27,180033
2019-12-23,2019-12-23,2003-09-03,178017
2019-12-23,2019-12-23,2003-09-10,178018
2019-12-23,2019-12-23,2003-09-17,178019
2019-12-23,2019-12-23,2003-09-24,178020
2019-12-23,2019-12-23,2003-10-01,176904
2019-12-23,2019-12-23,2003-10-08,176907
2019-12-23,2019-12-23,2003-10-15,176910
2019-12-23,2019-12-23,2003-10-22,176914
2019-12-23,2019-12-23,2003-10-29,178364
2019-12-23,2019-12-23,2003-11-05,179300
2019-12-23,2019-12-23,2003-11-12,179303
2019-12-23,2019-12-23,2003-11-19,177811
2019-12-23,2019-12-23,2003-11-26,178532
2019-12-23,2019-12-23,2003-12-03,179073
2019-12-23,2019-12-23,2003-12-10,179072
2019-12-23,2019-12-23,2003-12-17,179071
2019-12-23,2019-12-23,2003-12-24,179070
2019-12-23,2019-12-23,2003-12-31,187056
2019-12-23,2019-12-23,2004-01-07,180071
2019-12-23,2019-12-23,2004-01-14,180069
2019-12-23,2019-12-23,2004-01-21,182299
2019-12-23,2019-12-23,2004-01-28,182295
2019-12-23,2019-12-23,2004-02-04,181106
2019-12-23,2019-12-23,2004-02-11,181930
2019-12-23,2019-12-23,2004-02-18,182680
